Source,Target
tbvaughan53,RT_com
tbvaughan53,shotgunfairy13
FULLY_BADASS,RT_com
arifreporter,RT_com
s3r56,RT_com
H_NAILI,AP
RacquelSmiht,AP
YunaLeeTV,AP
LP_Angels,AP
Stb50,AP
JessiTurnure,AP
JeffAbramo,LP_Angels
JeffAbramo,AP
WJXTvic,AP
GlobalGrindNews,AP
ThroMyEyez,AP
LauraACrompton,AP
JeffAbramo,AP
LacBug,AP
iwmaster,APDiploWriter
iwmaster,AP
thomaslally,AP
dkpahl,LP_Angels
angelique_cav,LP_Angels
angelique_cav,AP
Apostle2169,AP
CompositeStick,AP
LP_Angels,JeffAbramo
LP_Angels,AP
CorralMilagros,AP
APDiploWriter,AP
LP_Angels,angelique_cav
LP_Angels,AP
1DooCO,LP_Angels
1DooCO,AP
52_ian,jonsnowC4
LuchadoreMierda,SirLiberal
LuchadoreMierda,jonsnowC4
LuchadoreMierda,Colvinius
Noody69Noody,jonsnowC4
cmcawley,jonsnowC4
philkurthausen,jonsnowC4
Noody69Noody,ryanseanie
sayyidhashim,jonsnowC4
howarthm,jonsnowC4
ryanseanie,jonsnowC4
LuchadoreMierda,SirLiberal
LuchadoreMierda,jonsnowC4
LuchadoreMierda,Colvinius
provence2704,jonsnowC4
LuchadoreMierda,SirLiberal
LuchadoreMierda,jonsnowC4
LuchadoreMierda,Colvinius
ryanseanie,Noody69Noody
SirLiberal,LuchadoreMierda
SirLiberal,jonsnowC4
SirLiberal,Colvinius
Noody69Noody,ryanseanie
BrusselsLout,jonsnowC4
SirLiberal,LuchadoreMierda
SirLiberal,jonsnowC4
SirLiberal,Colvinius
BrusselsLout,chrisd1974
BrusselsLout,jonsnowC4
SirLiberal,jonsnowC4
SirLiberal,Colvinius
SirLiberal,LuchadoreMierda
SirLiberal,jonsnowC4
SirLiberal,Colvinius
ryanseanie,Noody69Noody
OblioSays,Noody69Noody
OblioSays,ryanseanie
RewildBritain,jonsnowC4
conlig2,jonsnowC4
SirLiberal,LuchadoreMierda
SirLiberal,Colvinius
chrisd1974,jonsnowC4
beckyroncoroni,jonsnowC4
Perseus009,jonsnowC4
LuchadoreMierda,SirLiberal
LuchadoreMierda,jonsnowC4
LuchadoreMierda,Colvinius
theAlexHanson,AFP
TodosNetwork,AFP
AlexandrDen,AFP
MehsenMekhtfe,AFP
lynnbarbour,AFP
aditya_chaudry,AFP
Ms__Jabari,theAlexHanson
Ms__Jabari,AFP
MLKristola,AFP
H_NAILI,AFP
NTagouri,AFP
leroyy__,AFP
KimberlyBinVa,AFP
angelvillascusa,AFP
KeirSimmons,AFP
jeangprado,AFP
RichardSP86,AFP
xvillalba1,AFP
robertocoloma,AFP
fredwalton216,AFP
fredwalton216,Aceeeeeed
fredwalton216,Joyce_Karam
michaelvos1978,AFP
usman_ghani2014,mathieuvonrohr
usman_ghani2014,TarekFatah
Tillman_40,mathieuvonrohr
Tillman_40,cspanwj
peterleung,DavidClinchNews
peterleung,storyfulpro
peterleung,mathieuvonrohr
angusleddo,mathieuvonrohr
PhilipinDC,mathieuvonrohr
vepchl,mathieuvonrohr
vepchl,instapundit
PrashantThePK,mathieuvonrohr
PrashantThePK,TarekFatah
Truthman2010Joe,mathieuvonrohr
Selim_,mathieuvonrohr
inachu,mathieuvonrohr
jmontgo3,mathieuvonrohr
martinko06,mathieuvonrohr
Tan_Tripathi,mathieuvonrohr
jetdrvr1,mathieuvonrohr
splashed_at,angusleddo
splashed_at,mathieuvonrohr
ClearSeer,MelRJ
YAYshamsaldeen,ElContador2000
YAYshamsaldeen,Aristotleslogic
YAYshamsaldeen,BBCBreaking
YAYshamsaldeen,Jonteinspain
koushikdacool,YAYshamsaldeen
koushikdacool,BBCBreaking
Imran32881444,BBCBreaking
YAYshamsaldeen,Jonteinspain
YAYshamsaldeen,BBCBreaking
ClearSeer,MelRJ
fatclyde,nadadictator
fatclyde,BBCBreaking
fatclyde,janeikelboom
YAYshamsaldeen,emirevoke
YAYshamsaldeen,BBCBreaking
YAYshamsaldeen,Aristotleslogic
YAYshamsaldeen,BBCBreaking
YAYshamsaldeen,Jonteinspain
nadadictator,fatclyde
nadadictator,BBCBreaking
nadadictator,janeikelboom
SecularFraud,BBCBreaking
ClearSeer,MelRJ
ClearSeer,SecularFraud
ClearSeer,BBCBreaking
Aristotleslogic,YAYshamsaldeen
Aristotleslogic,ElContador2000
Aristotleslogic,BBCBreaking
Aristotleslogic,Jonteinspain
Jonteinspain,YAYshamsaldeen
Jonteinspain,Aristotleslogic
Jonteinspain,BBCBreaking
nadadictator,fatclyde
nadadictator,BBCBreaking
nadadictator,janeikelboom
nadadictator,fatclyde
nadadictator,BBCBreaking
nadadictator,janeikelboom
ClearSeer,MelRJ
ClearSeer,SecularFraud
nadadictator,fatclyde
nadadictator,BBCBreaking
nadadictator,janeikelboom
Jonteinspain,Aristotleslogic
Jonteinspain,YAYshamsaldeen
Jonteinspain,ElContador2000
Jonteinspain,BBCBreaking
nadadictator,fatclyde
nadadictator,BBCBreaking
nadadictator,janeikelboom
ClearSeer,MelRJ
ClearSeer,SecularFraud
ClearSeer,BBCBreaking
nadadictator,fatclyde
nadadictator,BBCBreaking
nadadictator,janeikelboom
Jonteinspain,YAYshamsaldeen
Jonteinspain,Aristotleslogic
Jonteinspain,ElContador2000
Jonteinspain,BBCBreaking
YAYshamsaldeen,richardpentney
YAYshamsaldeen,BBCBreaking
richardpentney,braemar88
richardpentney,BBCBreaking
Aristotleslogic,Jonteinspain
Aristotleslogic,YAYshamsaldeen
Aristotleslogic,ElContador2000
Aristotleslogic,BBCBreaking
nadadictator,fatclyde
nadadictator,BBCBreaking
nadadictator,janeikelboom
Jonteinspain,YAYshamsaldeen
Jonteinspain,BBCBreaking
YAYshamsaldeen,Aristotleslogic
YAYshamsaldeen,BBCBreaking
YAYshamsaldeen,Jonteinspain
nadadictator,fatclyde
nadadictator,BBCBreaking
