Source,Target
RT_com,tbvaughan53
RT_com,FULLY_BADASS
RT_com,arifreporter
RT_com,s3r56
AP,H_NAILI
AP,RacquelSmiht
AP,YunaLeeTV
AP,LP_Angels
AP,Stb50
AP,JessiTurnure
AP,JeffAbramo
AP,WJXTvic
AP,GlobalGrindNews
AP,ThroMyEyez
AP,LauraACrompton
AP,JeffAbramo
AP,LacBug
AP,iwmaster
AP,thomaslally
AP,dkpahl
AP,angelique_cav
AP,Apostle2169
AP,CompositeStick
AP,LP_Angels
AP,CorralMilagros
AP,APDiploWriter
AP,LP_Angels
AP,1DooCO
jonsnowC4,52_ian
jonsnowC4,LuchadoreMierda
jonsnowC4,Noody69Noody
jonsnowC4,cmcawley
jonsnowC4,philkurthausen
jonsnowC4,Noody69Noody
jonsnowC4,sayyidhashim
jonsnowC4,howarthm
jonsnowC4,ryanseanie
jonsnowC4,LuchadoreMierda
jonsnowC4,provence2704
jonsnowC4,LuchadoreMierda
jonsnowC4,ryanseanie
jonsnowC4,SirLiberal
jonsnowC4,Noody69Noody
jonsnowC4,BrusselsLout
jonsnowC4,SirLiberal
jonsnowC4,BrusselsLout
jonsnowC4,SirLiberal
jonsnowC4,SirLiberal
jonsnowC4,ryanseanie
jonsnowC4,OblioSays
jonsnowC4,RewildBritain
jonsnowC4,conlig2
jonsnowC4,SirLiberal
jonsnowC4,chrisd1974
jonsnowC4,beckyroncoroni
jonsnowC4,Perseus009
jonsnowC4,LuchadoreMierda
AFP,theAlexHanson
AFP,TodosNetwork
AFP,AlexandrDen
AFP,MehsenMekhtfe
AFP,lynnbarbour
AFP,aditya_chaudry
AFP,Ms__Jabari
AFP,MLKristola
AFP,H_NAILI
AFP,NTagouri
AFP,leroyy__
AFP,KimberlyBinVa
AFP,angelvillascusa
AFP,KeirSimmons
AFP,jeangprado
AFP,RichardSP86
AFP,xvillalba1
AFP,robertocoloma
AFP,fredwalton216
AFP,michaelvos1978
mathieuvonrohr,usman_ghani2014
mathieuvonrohr,Tillman_40
mathieuvonrohr,peterleung
mathieuvonrohr,angusleddo
mathieuvonrohr,PhilipinDC
mathieuvonrohr,vepchl
mathieuvonrohr,PrashantThePK
mathieuvonrohr,Truthman2010Joe
mathieuvonrohr,Selim_
mathieuvonrohr,inachu
mathieuvonrohr,jmontgo3
mathieuvonrohr,martinko06
mathieuvonrohr,Tan_Tripathi
mathieuvonrohr,jetdrvr1
mathieuvonrohr,splashed_at
BBCBreaking,ClearSeer
BBCBreaking,YAYshamsaldeen
BBCBreaking,koushikdacool
BBCBreaking,Imran32881444
BBCBreaking,YAYshamsaldeen
BBCBreaking,ClearSeer
BBCBreaking,fatclyde
BBCBreaking,YAYshamsaldeen
BBCBreaking,YAYshamsaldeen
BBCBreaking,nadadictator
BBCBreaking,SecularFraud
BBCBreaking,ClearSeer
BBCBreaking,Aristotleslogic
BBCBreaking,Jonteinspain
BBCBreaking,nadadictator
BBCBreaking,nadadictator
BBCBreaking,ClearSeer
BBCBreaking,nadadictator
BBCBreaking,Jonteinspain
BBCBreaking,nadadictator
BBCBreaking,ClearSeer
BBCBreaking,nadadictator
BBCBreaking,Jonteinspain
BBCBreaking,YAYshamsaldeen
BBCBreaking,richardpentney
BBCBreaking,Aristotleslogic
BBCBreaking,nadadictator
BBCBreaking,Jonteinspain
BBCBreaking,YAYshamsaldeen
BBCBreaking,nadadictator
BBCBreaking,YAYshamsaldeen
BBCBreaking,patrickdempsea
BBCBreaking,MelRJ
BBCBreaking,ElContador2000
BBCBreaking,fatclyde
BBCBreaking,nadadictator
BBCBreaking,ClearSeer
BBCBreaking,YAYshamsaldeen
BBCBreaking,richardpentney
BBCBreaking,nadadictator
BBCBreaking,fatclyde
BBCBreaking,ClearSeer
BBCBreaking,ElContador2000
BBCBreaking,MelRJ
BBCBreaking,Imran32881444
BBCBreaking,YAYshamsaldeen
BBCBreaking,ElContador2000
BBCBreaking,Jonteinspain
BBCBreaking,fatclyde
BBCBreaking,nadadictator
BBCBreaking,YAYshamsaldeen
BBCBreaking,janeikelboom
BBCBreaking,YAYshamsaldeen
BBCBreaking,YAYshamsaldeen
BBCBreaking,emirevoke
BBCBreaking,MarcoUROCK
BBCBreaking,fatclyde
BBCBreaking,Jonteinspain
BBCBreaking,fatclyde
BBCBreaking,MelRJ
BBCBreaking,MelRJ
BBCBreaking,fatclyde
BBCBreaking,Jonteinspain
BBCBreaking,nadadictator
BBCBreaking,Aristotleslogic
BBCBreaking,ClearSeer
BBCBreaking,Imran32881444
BBCBreaking,YAYshamsaldeen
BBCBreaking,nadadictator
BBCBreaking,ClearSeer
BBCBreaking,braemar88
BBCBreaking,fatclyde
BBCBreaking,YAYshamsaldeen
BBCBreaking,YAYshamsaldeen
BBCBreaking,ElContador2000
BBCBreaking,YAYshamsaldeen
BBCBreaking,ClearSeer
BBCBreaking,Aristotleslogic
BBCBreaking,Aristotleslogic
BBCBreaking,braemar88
BBCBreaking,MelRJ
BBCBreaking,fatclyde
BBCBreaking,MelRJ
BBCBreaking,YAYshamsaldeen
BBCBreaking,nadadictator
BBCBreaking,MelRJ
BBCBreaking,Aristotleslogic
BBCBreaking,Aristotleslogic
BBCBreaking,nadadictator
BBCBreaking,fatclyde
BBCBreaking,fatclyde
BBCBreaking,fatclyde
BBCBreaking,princessgawry
BBCBreaking,Serene_Meadows
BBCBreaking,nadadictator
BBCBreaking,MelRJ
BBCBreaking,YAYshamsaldeen
BBCBreaking,MelRJ
BBCBreaking,MelRJ
BBCBreaking,richardpentney
BBCBreaking,ClearSeer
BBCBreaking,nadadictator
BBCBreaking,Umlujain4
BBCBreaking,nadadictator
BBCtrending,imperdibles71
BBCtrending,Plukdetoekomst
BBCtrending,sven10hove
BBCtrending,MarciaLiss1
BBCtrending,JoannaJefferies
BBCtrending,TheDailyEdge
BBCtrending,aurbanist
BBCtrending,absurdistwords
BBCtrending,lydaten
BBCtrending,PreFirstRocks
BBCtrending,Joanne1200
BBCtrending,politico08
BBCtrending,sven10hove
BBCtrending,aydn_balaban
BBCtrending,James_Andrews
BBCtrending,jondekel
BBCtrending,lydaten
BBCtrending,_R_S_S_
BBCtrending,dom_grosso
BBCtrending,SUITSFRANK
BBCtrending,AngelJenio
Telegraph,jmnl
Telegraph,GeoTravellers
Telegraph,Marsattaqueblog
Telegraph,L4zick
Telegraph,RP153
Telegraph,Geekandco
Telegraph,OmarHavana
Telegraph,CptBoy1
Telegraph,strangebloke1
Telegraph,Nakou
Telegraph,strangebloke1
Telegraph,Rozelit0
Telegraph,strangebloke1
Telegraph,fil
Telegraph,AlexanderCPlumb
Telegraph,AlexanderCPlumb
Telegraph,FrenchBarbu
Telegraph,Rozelit0
Telegraph,EtDaum
Telegraph,SeanNetlog
Telegraph,CptBoy1
Telegraph,Marsattaqueblog
Telegraph,GregoireFavet
Telegraph,CptBoy1
Telegraph,SeanNetlog
Telegraph,AurelioArena
Telegraph,Lelex4205
Telegraph,AlexanderCPlumb
Telegraph,AlexanderCPlumb
Telegraph,Marsattaqueblog
Telegraph,RP153
Telegraph,EtDaum
Telegraph,romaingeoffroy
Telegraph,Ravenser
Telegraph,Lelex4205
RobNisbetSky,majorgc
RobNisbetSky,wiki_syria
RobNisbetSky,mycubanfriends
RobNisbetSky,AliBunkallSKY
RobNisbetSky,Mayor_Domino
RobNisbetSky,rConflictNews
RobNisbetSky,JeffGazzard
RobNisbetSky,andymyatt
RobNisbetSky,emouchet2
BreakingNews,JPMcGlone
BreakingNews,TheMadHessian
BreakingNews,TheMadHessian
BreakingNews,JPMcGlone
BreakingNews,JPMcGlone
BreakingNews,chaturvedianu
BreakingNews,binary9999
BreakingNews,JPMcGlone
BreakingNews,JPMcGlone
BreakingNews,TheMadHessian
BreakingNews,JPMcGlone
BreakingNews,ijjani
BreakingNews,TheMadHessian
BreakingNews,JPMcGlone
AJEnglish,alwalawalbaraaa
AJEnglish,IkariunVenus
AJEnglish,Gheto_love
AJEnglish,terryjee
AJEnglish,Ragingstorm77
AJEnglish,PaoloMyanmar
AJEnglish,Truth2Come
AJEnglish,pilarconci
AJEnglish,SpeedmanHK
AJEnglish,IkariunVenus
AJEnglish,amjza
mashable,TheLastJinn
mashable,niutenisu
mashable,Daniel_Bevis
mashable,Fair_Tax
mashable,message_txt
mashable,message_txt
mashable,bast1ston
mashable,Broakley
mashable,TheLastJinn
mashable,message_txt
mashable,message_txt
DanBilefsky,juntosultravez
DanBilefsky,HakalaManu
DanBilefsky,vkachestwecher5
DanBilefsky,Yeeyee_05
DanBilefsky,Nikoradfan
DanBilefsky,MarionRocheteau
DanBilefsky,ClauxAlf1108
DanBilefsky,chivitoledov
DanBilefsky,RegiNoticias
DanBilefsky,Hekat64Juan
DanBilefsky,daisyspycraft
AFP,MorvenMcPherson
AFP,Bart1608
AFP,RonnyNaftaniel
AFP,jkfecke
AFP,MirjamHagen
AFP,Fehried
AFP,TodosNetwork
AFP,JohnArterbury
AFP,FffMachiavelli
AFP,AndyZKCTV5
AFP,ProducerOllie
AFP,ATMology
AFP,amiramouelhi
AFP,rachelbook
AFP,newsfromdani
AFP,brianweichardt
AFP,idaschrijft
AFP,icacabelos
AFP,CollinRuaneTV
AFP,MarcoCSermoneta
NBCNews,MagicManRAW
NBCNews,MelissaMSmith
NBCNews,trumancat
NBCNews,skollbuddy51
NBCNews,RicoBushWAVY
NBCNews,grumpy99
guardiannews,DanHaugh
guardiannews,smacari
guardiannews,AureliaFierros
France24_en,PsychicWaugh
France24_en,dare6626
France24_en,galaturco
France24_en,PsychicWaugh
France24_en,GigiGraciette
AJENews,ZackieAchmat
AJENews,shortbuskill
AJENews,thegothking
AJENews,keciacailey
AJENews,villakruger
AJENews,akuaks
AJENews,citizenyid
juliamacfarlane,NYArtiste
juliamacfarlane,morrissammo
SkyNews,TerrierMcD
SkyNews,marcomura
SkyNews,iamthemission
SkyNews,ExRayez
SkyNews,mycubanfriends
SkyNews,PriyanGMenon
SkyNews,NintendoGuy327
SkyNews,BentGlasses
SkyNews,Axelsecudriver
SkyNewsBreak,SusanSangster
SkyNewsBreak,UR_XLN_C_
SkyNewsBreak,SusanSangster
SkyNewsBreak,cam78745
SkyNewsBreak,EdinburghMayhem
SkyNewsBreak,UR_XLN_C_
SkyNewsBreak,keithmdavies
SkyNewsBreak,timdrfc
SkyNewsBreak,UR_XLN_C_
SkyNewsBreak,question_truth
SkyNewsBreak,_JenniGraham
SkyNewsBreak,UR_XLN_C_
SkyNewsBreak,njgoff
AgnesCPoirier,tamhanespeaks
AgnesCPoirier,etabori
AgnesCPoirier,HaroldWinship
AgnesCPoirier,ahamdyos
AgnesCPoirier,YessToLove
AgnesCPoirier,SilviaAlaman
AgnesCPoirier,2M_i_2R
AgnesCPoirier,YessToLove
AgnesCPoirier,FRatsivalaka
AgnesCPoirier,vijayv
AgnesCPoirier,YessToLove
AgnesCPoirier,YessToLove
AgnesCPoirier,YessToLove
AgnesCPoirier,etabori
AgnesCPoirier,etabori
AgnesCPoirier,indiapremi
AgnesCPoirier,keller_lind
AgnesCPoirier,etabori
AgnesCPoirier,BaldLong
AgnesCPoirier,ramgopalgpt
thedailybeast,hRothGarKP
