Source,Target
SCORBER23,atmosphere
SCORBER23,2complex2know
SCORBER23,AntonioFrench
Hannah_Hadden66,atmosphere
Hannah_Hadden66,AntonioFrench
TimothySHays,LauraKHettiger
TimothySHays,JimmyPrinceton
TimothySHays,QuikTrip
TimothySHays,KMOV
OldMan166,JennyLane78
OldMan166,LauraKHettiger
OldMan166,billschwulst
ank_wobl,LauraKHettiger
ank_wobl,jonswaine
ank_wobl,QuikTrip
ank_wobl,KMOV
WJohnson68,LauraKHettiger
WJohnson68,QuikTrip
sevenwithcheese,LauraKHettiger
sevenwithcheese,jonswaine
sevenwithcheese,QuikTrip
sevenwithcheese,KMOV
FrankNW,Shirking_Violet
FrankNW,LauraKHettiger
FrankNW,QuikTrip
FrankNW,KMOV
FrankNW,jonswaine
JennyLane78,LauraKHettiger
JennyLane78,billschwulst
LauraKHettiger,QuikTrip
LauraKHettiger,KMOV
OldMan166,LauraKHettiger
OldMan166,billschwulst
andrelmay,LauraKHettiger
andrelmay,KMOV
walkerjeremy,LauraKHettiger
BlackElegance1,LauraKHettiger
BlackElegance1,billschwulst
LauraKHettiger,billschwulst
LauraKHettiger,LauraKHettiger
chipgoines,LauraKHettiger
chipgoines,QuikTrip
chipgoines,KMOV
Shirking_Violet,LauraKHettiger
Shirking_Violet,QuikTrip
Shirking_Violet,KMOV
Shirking_Violet,jonswaine
billschwulst,LauraKHettiger
SuperGrover57,LauraKHettiger
ShawnGoldwater,LauraKHettiger
ShawnGoldwater,jonswaine
ShawnGoldwater,QuikTrip
ShawnGoldwater,KMOV
Bill_Brahsby,WesleyLowery
JennyHallJones,WesleyLowery
summer_bri,WesleyLowery
summer_bri,MiscTrollin
MiscTrollin,sarahjeong
MiscTrollin,WesleyLowery
RealFauziPG,WesleyLowery
sarahjeong,WesleyLowery
markchappelle,WesleyLowery
MidianiteManna,WesleyLowery
DaRawJournalist,WesleyLowery
MiscTrollin,MrDespicable
MiscTrollin,sarahjeong
MiscTrollin,WesleyLowery
twoodard8,JasonWhitely
MiscTrollin,WesleyLowery
JasonWhitely,twoodard8
Dan_Segreto24,WesleyLowery
sarahjeong,WesleyLowery
Numbers28,WesleyLowery
Numbers28,bannerite
kofibarbara,WesleyLowery
twoodard8,WesleyLowery
twoodard8,JasonWhitely
MrDespicable,MiscTrollin
MrDespicable,sarahjeong
MrDespicable,WesleyLowery
JasonWhitely,twoodard8
JasonWhitely,WesleyLowery
WesleyLowery,sarahjeong
NemiahFelipe3,blackmadonnachi
Video_GaG,cnnireport
SoAmericano12,cnnireport
SoAmericano12,CNN
lindalousnyder,cnnireport
doxie99,cnnireport
doxie99,CNN
KeepItRealist,cnnireport
KeepItRealist,allys_sons
Kyle6800Kyle,SoAmericano12
Kyle6800Kyle,cnnireport
Kyle6800Kyle,CNN
Kyle6800Kyle,cnnireport
Kyle6800Kyle,CNN
JoiseyGuy52,cnnireport
JoiseyGuy52,CNN
bigricanman,cnnireport
bigricanman,CNN
BlackFlagRising,cnnireport
BlackFlagRising,CNN
hoosierball1,cnnireport
hoosierball1,CNN
1_ZB_1,SoAmericano12
CristopherBlane,cnnireport
CristopherBlane,CNN
Bl0ndie00,cnnireport
Bl0ndie00,CNN
bigricanman,cnnireport
bigricanman,CNN
qhendric,WSJspeakeasy
lschonhoff,WSJspeakeasy
kyjeeper65,WSJspeakeasy
kyjeeper65,WSJ
aljazeera_ali,WSJspeakeasy
allen_osuno1,BillMoyersHQ
reneejulene,BillMoyersHQ
cbtbaldwin,BillMoyersHQ
Micky_Finn,BillMoyersHQ
Pinkomomma,BillMoyersHQ
bartnbeka,BillMoyersHQ
allen_osuno1,Pinkomomma
allen_osuno1,BillMoyersHQ
MikeHense,BillMoyersHQ
DavidMastio,BillMoyersHQ
CuomoElia,BillMoyersHQ
Pinkomomma,allen_osuno1
Pinkomomma,BillMoyersHQ
seeeek,BmoreConetta
seeeek,AntonioFrench
awmsdreams,BmoreConetta
rosama914,BmoreConetta
rosama914,AntonioFrench
760KARMA,BmoreConetta
760KARMA,Atmvn
EwwMoist,BmoreConetta
smokintiger,BmoreConetta
smokintiger,AntonioFrench
gioman62,BmoreConetta
gioman62,AntonioFrench
sir_jamez,BmoreConetta
sir_jamez,AntonioFrench
TyreeBP,BmoreConetta
DZerach,BmoreConetta
ank_wobl,BmoreConetta
ank_wobl,AntonioFrench
ank_wobl,GovJayNixon
MyFourHaPennies,ACLU
MyFourHaPennies,aclu_mo
ACLU,aclu_mo
doubledeckerpot,ACLU
doubledeckerpot,Sarah__Reynolds
doubledeckerpot,aclu_mo
realspacemodels,ACLU
realspacemodels,aclu_mo
MissWrite,ACLU
MissWrite,aclu_mo
doubledeckerpot,ACLU
doubledeckerpot,Sarah__Reynolds
doubledeckerpot,aclu_mo
StAlfongzo,ACLU
StAlfongzo,BoingBoing
StAlfongzo,aclu_mo
director_in_kc,ACLU
director_in_kc,aclu_mo
director_in_kc,ACLU
Lor_Gon,tishaura
Lor_Gon,AntonioFrench
Dzennypha,tishaura
Dzennypha,schemaly
tracybo,tishaura
tracybo,AntonioFrench
ContraCritic,tishaura
Jake_Witmer,tishaura
Jake_Witmer,AntonioFrench
jbfree,tishaura
jbfree,AntonioFrench
lettywho1,tishaura
lettywho1,AntonioFrench
lettywho1,BarackObama
lippylulumama,tishaura
lippylulumama,indigojourney
MrDanthraxxx,tishaura
MrDanthraxxx,AntonioFrench
ContraCritic,tishaura
BasedGodGotenks,Steiner1776
BasedGodGotenks,Z_Glove
3luch_sveta3,Steiner1776
patrice_shoffie,Steiner1776
chooch051,Steiner1776
chooch051,Novorossiyan
drjackiet,Steiner1776
drjackiet,djmincey11
Moeng66,Steiner1776
AJOKERONJACK,Steiner1776
AfricanPrincess,elonjames
TheGrottoTweets,elonjames
AfroStateOfMind,elonjames
Hotflashes10,elonjames
ShanePaulNeil,elonjames
ipimi,ShanePaulNeil
ipimi,elonjames
KEFABE63,ShanePaulNeil
KEFABE63,elonjames
LiciaCee,elonjames
RelapsedCath,elonjames
oslowe,elonjames
Freemore,elonjames
TheREAL_MBrooks,elonjames
SilentRaging,elonjames
RussellGlasser,MasterPancake
RussellGlasser,ForRevolution
WolfofCoinst,ForRevolution
k_ur_crazy,WolfofCoinst
k_ur_crazy,ForRevolution
WolfofCoinst,Razycrandomgirl
WolfofCoinst,ForRevolution
Razycrandomgirl,WolfofCoinst
Razycrandomgirl,ForRevolution
GirlinaTie,ForRevolution
GirlinaTie,BlkLightDisco
i_AM_theChange,Ladyy_Rhe
i_AM_theChange,micki_t
i_AM_theChange,Rebis01
i_AM_theChange,140elect
i_AM_theChange,ThePlumLineGS
NameL3ssVictim,Ladyy_Rhe
NameL3ssVictim,NvkedChild
Cassymaio,Ladyy_Rhe
1stdraftpick,PrideOfLR
1stdraftpick,Ladyy_Rhe
DJTriumph,Ladyy_Rhe
DJTriumph,brokeymcpoverty
lmtr1881,Ladyy_Rhe
b8e56f355fff40a,Ladyy_Rhe
b8e56f355fff40a,Smooth_Orator
Cfoee_,Ladyy_Rhe
Cfoee_,QueenOfShebaN
Cfoee_,Cfoee_
tschaka_,Ladyy_Rhe
tschaka_,lordjamar
K_Zach1,Ladyy_Rhe
EbonyAbyss,Ladyy_Rhe
EbonyAbyss,imUggLee
Favstar500Favs,Ladyy_Rhe
eeemescudi,HALEyeaahh
eeemescudi,Ladyy_Rhe
eeemescudi,_LoveKendraa
Favstar250,Ladyy_Rhe
LuvinglyEvil,LipstickYoda
LuvinglyEvil,Ladyy_Rhe
P90obh,Ladyy_Rhe
P90obh,MissKingQ
P90obh,AMallandToke
knowmorenoless_,Ladyy_Rhe
favstar1000favs,Ladyy_Rhe
XeNoNProZz,TheAnonMessage2
STACK3RS,TheAnonMessage2
STACK3RS,HeckPhilly
Cuh_Meel,TheAnonMessage2
HeckPhilly,_TOTALpAKAge_
AnonKopimi,TheAnonMessage2
mizz_cass,TheAnonMessage2
HeckPhilly,TheAnonMessage2
XeNoNProZz,TheAnonMessage2
_TOTALpAKAge_,HeckPhilly
medicsunny,TheAnonMessage2
TheAnonMessage2,HeckPhilly
moneyries,NatalieCrue
NicholasAPizzi,mashable
NliteNinc,mashable
NatalieCrue,moneyries
NatalieCrue,mashable
joshmateo,mashable
joshmateo,cadespeak
cadespeak,joshmateo
and1grad,ThroatChopU
bennyc50,mashable
abbiewastaken,mashable
iPapi_4G,LARAIDERFAN1980
iPapi_4G,mashable
ThroatChopU,mashable
moneyries,NatalieCrue
moneyries,mashable
leomercadeo,mashable
moneyries,NatalieCrue
NatalieCrue,moneyries
kproductionel,mashable
species8472xgn,moneyries
species8472xgn,NatalieCrue
species8472xgn,mashable
3rdStrike,mashable
Machilu2014,mashable
LARAIDERFAN1980,iPapi_4G
awwrote,mashable
TheMatthewLee,mashable
NatalieCrue,mashable
TheMatthewLee,mashable
rhea_holder,mashable
ChristyKatana,mashable
msk0654,mashable
LARAIDERFAN1980,iPapi_4G
LARAIDERFAN1980,mashable
Machilu2014,TheMatthewLee
Machilu2014,mashable
NatalieCrue,moneyries
iPapi_4G,mashable
moneyries,and1grad
moneyries,ThroatChopU
ThroatChopU,and1grad
jblack501c3,kudipeaches
jblack501c3,zellieimani
jblack501c3,SpookPacShakur
jblack501c3,AntonioFrench
jblack501c3,elonjames
jblack501c3,WesleyLowery
susan19514,jblack501c3
susan19514,kudipeaches
susan19514,zellieimani
susan19514,SpookPacShakur
