Source,Target
atmosphere,SCORBER23
atmosphere,Hannah_Hadden66
LauraKHettiger,TimothySHays
LauraKHettiger,OldMan166
LauraKHettiger,ank_wobl
LauraKHettiger,WJohnson68
LauraKHettiger,sevenwithcheese
LauraKHettiger,FrankNW
LauraKHettiger,JennyLane78
LauraKHettiger,LauraKHettiger
LauraKHettiger,OldMan166
LauraKHettiger,andrelmay
LauraKHettiger,walkerjeremy
LauraKHettiger,BlackElegance1
LauraKHettiger,LauraKHettiger
LauraKHettiger,chipgoines
LauraKHettiger,Shirking_Violet
LauraKHettiger,billschwulst
LauraKHettiger,SuperGrover57
LauraKHettiger,ShawnGoldwater
WesleyLowery,Bill_Brahsby
WesleyLowery,JennyHallJones
WesleyLowery,summer_bri
WesleyLowery,MiscTrollin
WesleyLowery,RealFauziPG
WesleyLowery,sarahjeong
WesleyLowery,WesleyLowery
WesleyLowery,markchappelle
WesleyLowery,MidianiteManna
WesleyLowery,DaRawJournalist
WesleyLowery,MiscTrollin
WesleyLowery,twoodard8
WesleyLowery,MiscTrollin
WesleyLowery,JasonWhitely
WesleyLowery,Dan_Segreto24
WesleyLowery,sarahjeong
WesleyLowery,Numbers28
WesleyLowery,kofibarbara
WesleyLowery,twoodard8
WesleyLowery,MrDespicable
WesleyLowery,JasonWhitely
WesleyLowery,WesleyLowery
blackmadonnachi,NemiahFelipe3
cnnireport,Video_GaG
cnnireport,SoAmericano12
cnnireport,lindalousnyder
cnnireport,doxie99
cnnireport,KeepItRealist
cnnireport,Kyle6800Kyle
cnnireport,JoiseyGuy52
cnnireport,bigricanman
cnnireport,BlackFlagRising
cnnireport,hoosierball1
cnnireport,1_ZB_1
cnnireport,cnnireport
cnnireport,CristopherBlane
cnnireport,Bl0ndie00
cnnireport,bigricanman
WSJspeakeasy,qhendric
WSJspeakeasy,lschonhoff
WSJspeakeasy,kyjeeper65
WSJspeakeasy,aljazeera_ali
BillMoyersHQ,allen_osuno1
BillMoyersHQ,reneejulene
BillMoyersHQ,BillMoyersHQ
BillMoyersHQ,cbtbaldwin
BillMoyersHQ,Micky_Finn
BillMoyersHQ,Pinkomomma
BillMoyersHQ,bartnbeka
BillMoyersHQ,allen_osuno1
BillMoyersHQ,MikeHense
BillMoyersHQ,DavidMastio
BillMoyersHQ,CuomoElia
BillMoyersHQ,Pinkomomma
BmoreConetta,seeeek
BmoreConetta,awmsdreams
BmoreConetta,rosama914
BmoreConetta,760KARMA
BmoreConetta,EwwMoist
BmoreConetta,smokintiger
BmoreConetta,BmoreConetta
BmoreConetta,gioman62
BmoreConetta,sir_jamez
BmoreConetta,TyreeBP
BmoreConetta,DZerach
BmoreConetta,ank_wobl
ACLU,MyFourHaPennies
ACLU,ACLU
ACLU,doubledeckerpot
ACLU,realspacemodels
ACLU,MissWrite
ACLU,doubledeckerpot
ACLU,StAlfongzo
ACLU,director_in_kc
tishaura,Lor_Gon
tishaura,Dzennypha
tishaura,tracybo
tishaura,tishaura
tishaura,ContraCritic
tishaura,Jake_Witmer
tishaura,jbfree
tishaura,lettywho1
tishaura,lippylulumama
tishaura,MrDanthraxxx
tishaura,ContraCritic
Steiner1776,BasedGodGotenks
Steiner1776,3luch_sveta3
Steiner1776,patrice_shoffie
Steiner1776,Steiner1776
Steiner1776,chooch051
Steiner1776,drjackiet
Steiner1776,Moeng66
Steiner1776,AJOKERONJACK
elonjames,AfricanPrincess
elonjames,TheGrottoTweets
elonjames,AfroStateOfMind
elonjames,Hotflashes10
elonjames,ShanePaulNeil
elonjames,ipimi
elonjames,KEFABE63
elonjames,LiciaCee
elonjames,RelapsedCath
elonjames,oslowe
elonjames,Freemore
elonjames,elonjames
elonjames,TheREAL_MBrooks
elonjames,SilentRaging
ForRevolution,RussellGlasser
ForRevolution,WolfofCoinst
ForRevolution,k_ur_crazy
ForRevolution,WolfofCoinst
ForRevolution,Razycrandomgirl
ForRevolution,GirlinaTie
Ladyy_Rhe,i_AM_theChange
Ladyy_Rhe,NameL3ssVictim
Ladyy_Rhe,Ladyy_Rhe
Ladyy_Rhe,Cassymaio
Ladyy_Rhe,1stdraftpick
Ladyy_Rhe,DJTriumph
Ladyy_Rhe,lmtr1881
Ladyy_Rhe,b8e56f355fff40a
Ladyy_Rhe,Cfoee_
Ladyy_Rhe,tschaka_
Ladyy_Rhe,K_Zach1
Ladyy_Rhe,EbonyAbyss
Ladyy_Rhe,Favstar500Favs
Ladyy_Rhe,eeemescudi
Ladyy_Rhe,Favstar250
Ladyy_Rhe,LuvinglyEvil
Ladyy_Rhe,P90obh
Ladyy_Rhe,knowmorenoless_
