Source,Target
Timme200,AirSmolik
ElderGrizzly,AirSmolik
mclarenmerc,AirSmolik
wdowell,AirSmolik
chris_sutter,AirSmolik
stiggyiggy,AirSmolik
bjornmoerman,AirSmolik
Dracunculus2010,AirSmolik
Dracunculus2010,abundare78
sirhenry33,AirSmolik
ConsumerSOS,AP
alosalot,AP
KSLAndrew,AP
ubayinO,AP
Servando2011,AP
NYCTravelBug,AP
bad_robot_57,AP
KellyMaster_,AP
TruJokerStyle,AP
TruJokerStyle,BreaKBeatJunkee
IKEDA_,AP
jonnyplavery,AP
NBCNews,germanwings
CumpsonDoug,NBCNews
CumpsonDoug,germanwings
good2naveed,NBCNews
ayejay_d,NBCNews
ayejay_d,NBCNews
HawsonDPierre,NBCNews
HawsonDPierre,germanwings
packingpeanut11,NBCNews
packingpeanut11,NBCNews
ColleenRussell2,NBCNews
justabedroom,HawsonDPierre
justabedroom,NBCNews
justabedroom,germanwings
Archvin_NOW26,NBCNews
Archvin_NOW26,NBCNews
onchan4g,NBCNews
onchan4g,NBCNews
RealAbril,NBCNews
RealAbril,NBCNews
Stephen_WPMI,NBCNews
Stephen_WPMI,NBCNews
tonimugo,NBCNews
tonimugo,germanwings
KerryLeary,NBCNews
stephen_quinn,NBCNews
stephen_quinn,NBCNews
BlakeKARE11,NBCNews
BlakeKARE11,NBCNews
NBCNews,germanwings
HawsonDPierre,justabedroom
HawsonDPierre,NBCNews
HawsonDPierre,germanwings
TSalommy,NBCNews
TSalommy,germanwings
JMichaelsNews,germanwings
JMichaelsNews,NBCNews
stewart_emily,NBCNews
stewart_emily,germanwings
maggieKTVB7,NBCNews
CumpsonDoug,NBCNews
CumpsonDoug,SusanHendricks
KimInsley,NBCNews
KimInsley,NBCNews
KimInsley,kare11
justabedroom,HawsonDPierre
VassyKapelos,NBCNews
VassyKapelos,NBCNews
CumpsonDoug,Figenozavci
AsapBasile98,NBCNews
jlenmartin,NBCNews
jlenmartin,NBCNews
sunny22457,NBCNews
RicoBushWAVY,NBCNews
RicoBushWAVY,NBCNews
JordanNBCDC,NBCNews
JordanNBCDC,NBCNews
Figenozavci,NBCNews
bloggerguy69,jjauthor
bloggerguy69,gatewaypundit
MotherGoos3,jjauthor
MotherGoos3,DesireeAaron
MotherGoos3,gatewaypundit
georgejgalatis,jjauthor
georgejgalatis,gatewaypundit
michael63mcc,jjauthor
michael63mcc,gatewaypundit
2APatriot2100,jjauthor
2APatriot2100,gatewaypundit
ronaldroeo4_roe,jjauthor
ronaldroeo4_roe,gatewaypundit
jtaylor2014us,jjauthor
jtaylor2014us,gatewaypundit
rupalthegreat,TimesNow
FeelFreetuRT,_hadji_911
FeelFreetuRT,ChristieC733
FeelFreetuRT,gatewaypundit
MuslimMahamat,HamIzgood
kuhnu2012,_hadji_911
kuhnu2012,BobG231
kuhnu2012,gatewaypundit
Purpledogflower,_hadji_911
Purpledogflower,BobG231
Purpledogflower,gatewaypundit
BeauRyker,_hadji_911
BeauRyker,ChristieC733
BeauRyker,gatewaypundit
HamIzgood,MuslimMahamat
HamIzgood,_hadji_911
HamIzgood,gatewaypundit
HamIzgood,PaulSmitheringa
HamIzgood,nostradamus9192
HamIzgood,HajiSlayer666
HamIzgood,MuslimMahamat
HamIzgood,MuslimMahamat
HamIzgood,_hadji_911
HamIzgood,gatewaypundit
HamIzgood,PaulSmitheringa
HamIzgood,nostradamus9192
HamIzgood,HajiSlayer666
HamIzgood,MuslimMahamat
HamIzgood,_hadji_911
HamIzgood,gatewaypundit
HamIzgood,PaulSmitheringa
HamIzgood,nostradamus9192
HamIzgood,HajiSlayer666
HamIzgood,MuslimMahamat
HamIzgood,_hadji_911
HamIzgood,gatewaypundit
HamIzgood,PaulSmitheringa
HamIzgood,nostradamus9192
HamIzgood,HajiSlayer666
_hadji_911,Lee98Walker
HamIzgood,MuslimMahamat
HamIzgood,_hadji_911
HamIzgood,gatewaypundit
HamIzgood,PaulSmitheringa
HamIzgood,nostradamus9192
HamIzgood,HajiSlayer666
MuslimMahamat,HamIzgood
MuslimMahamat,_hadji_911
MuslimMahamat,gatewaypundit
MuslimMahamat,PaulSmitheringa
MuslimMahamat,nostradamus9192
MuslimMahamat,HajiSlayer666
HamIzgood,MuslimMahamat
HamIzgood,_hadji_911
HamIzgood,gatewaypundit
HamIzgood,PaulSmitheringa
HamIzgood,nostradamus9192
HamIzgood,HajiSlayer666
SSC1974,_hadji_911
SSC1974,BobG231
SSC1974,gatewaypundit
Lee98Walker,_hadji_911
Lee98Walker,BobG231
Lee98Walker,gatewaypundit
HamIzgood,MuslimMahamat
HamIzgood,_hadji_911
HamIzgood,gatewaypundit
HamIzgood,PaulSmitheringa
HamIzgood,nostradamus9192
HamIzgood,HajiSlayer666
_hadji_911,FeelFreetuRT
_hadji_911,ChristieC733
MuslimMahamat,_hadji_911
MuslimMahamat,HamIzgood
MuslimMahamat,gatewaypundit
MuslimMahamat,PaulSmitheringa
MuslimMahamat,nostradamus9192
MuslimMahamat,HajiSlayer666
itsmy_page,_hadji_911
itsmy_page,gatewaypundit
MuslimMahamat,HamIzgood
MuslimMahamat,_hadji_911
MuslimMahamat,gatewaypundit
MuslimMahamat,PaulSmitheringa
MuslimMahamat,nostradamus9192
MuslimMahamat,HajiSlayer666
ThomasStahley,_hadji_911
ThomasStahley,BobG231
ThomasStahley,gatewaypundit
MuslimMahamat,HamIzgood
MuslimMahamat,_hadji_911
MuslimMahamat,gatewaypundit
MuslimMahamat,PaulSmitheringa
MuslimMahamat,nostradamus9192
MuslimMahamat,HajiSlayer666
MuslimMahamat,HamIzgood
MuslimMahamat,_hadji_911
MuslimMahamat,gatewaypundit
MuslimMahamat,PaulSmitheringa
MuslimMahamat,nostradamus9192
MuslimMahamat,HajiSlayer666
HajiSlayer666,MuslimMahamat
HajiSlayer666,HamIzgood
HajiSlayer666,_hadji_911
HajiSlayer666,gatewaypundit
HajiSlayer666,PaulSmitheringa
HajiSlayer666,nostradamus9192
citysue1,_hadji_911
citysue1,ChristieC733
citysue1,gatewaypundit
TexasLiberty15,_hadji_911
TexasLiberty15,ChristieC733
TexasLiberty15,gatewaypundit
TweTweetie,_hadji_911
TweTweetie,Haji_HuntingGrl
TweTweetie,gatewaypundit
GROGParty,riwired
GROGParty,PaulSte42038667
GROGParty,riwired
_manckie_,riwired
GJogillum345,riwired
BeNaums,riwired
BeNaums,bean3ie
PaulSte42038667,GROGParty
PaulSte42038667,riwired
sanitizer911,BeNaums
sanitizer911,riwired
sanitizer911,bean3ie
GROGParty,PaulSte42038667
GROGParty,riwired
PaulSte42038667,GROGParty
PaulSte42038667,riwired
GROGParty,PaulSte42038667
GROGParty,riwired
PaulSte42038667,GROGParty
PaulSte42038667,riwired
NinaMaechik,riwired
GROGParty,PaulSte42038667
GROGParty,riwired
riwired,MIFheili1960
BeNaums,riwired
BeNaums,bean3ie
Greyhound1405,riwired
PaulSte42038667,GROGParty
PaulSte42038667,riwired
MIFheili1960,riwired
BeNaums,sanitizer911
BeNaums,riwired
BeNaums,bean3ie
Bacon_Eater,riwired
Bacon_Eater,MIFheili1960
GROGParty,PaulSte42038667
GROGParty,riwired
bean3ie,riwired
PaulSte42038667,GROGParty
PaulSte42038667,riwired
DJobling,9NewsAUS
DiHarsh,9NewsAUS
nathaningz,9NewsAUS
AlisonHale24,9NewsAUS
RxquelMallillin,camiejuan
faratuhraaadj,ANCALERTS
faratuhraaadj,BBCBreaking
riolm_21,ANCALERTS
riolm_21,BBCBreaking
camiejuan,ANCALERTS
camiejuan,BBCBreaking
KatDeCastro,ANCALERTS
KatDeCastro,BBCBreaking
RxquelMallillin,camiejuan
camiejuan,RxquelMallillin
criskty14,ANCALERTS
criskty14,BBCBreaking
AyatBak,twita_to
AyatBak,ashwinkr88
twita_to,AyatBak
twita_to,ashwinkr88
twita_to,ashwinkr88
twita_to,HDLindiaOrg
AyatBak,krishnansram
twita_to,AyatBak
twita_to,ashwinkr88
twita_to,AyatBak
twita_to,ashwinkr88
krishnansram,AyatBak
AyatBak,twita_to
AyatBak,ashwinkr88
ashwinkr88,twita_to
ashwinkr88,AyatBak
twita_to,AyatBak
twita_to,ashwinkr88
AyatBak,twita_to
AyatBak,ashwinkr88
twita_to,HDLindiaOrg
twita_to,AyatBak
twita_to,ashwinkr88
krishnansram,AyatBak
AyatBak,twita_to
AyatBak,ashwinkr88
