Source,Target
coryhenninfowar,IntoToronto
coryhenninfowar,ABC
coryhenninfowar,WhatIsWrong_US
coryhenninfowar,ABC
BoloStick,WhatIsWrong_US
BoloStick,ABC
cronogold,ABC
BoloStick,ABC
BankRealtor01,ABC
WhatIsWrong_US,ABC
coryhenninfowar,IntoToronto
coryhenninfowar,ABC
MikeSHall9,ABC
Roxylizp,ABC
coryhenninfowar,ABC
Biometricstate,moonshyne1975
Biometricstate,Sheena_Brady
uglykev,Sheena_Brady
uglykev,Biometricstate
uglykev,CBCNews
ABrnstein,Biometricstate
henrycobb,Biometricstate
henrycobb,smsaideman
Eisensapper,Biometricstate
moonshyne1975,Biometricstate
Biometricstate,moonshyne1975
marykremigio,Biometricstate
Sheena_Brady,Biometricstate
HowardFredrics,Biometricstate
moi1975,Biometricstate
tweetylinds,Biometricstate
moonshyne1975,Biometricstate
EdFlint2,uglykev
EdFlint2,Sheena_Brady
EdFlint2,Biometricstate
EdFlint2,CBCNews
Peady,oldbakerman
Peady,CTVNews
Peady,CTVMercedes
Drewbie1985,CTVNews
Drewbie1985,davidcollict
Drewbie1985,CTVMercedes
Gravelroadboy,CTVNews
Gravelroadboy,CTVMercedes
Peady,oldbakerman
Luketodd22,CTVNews
Luketodd22,CTVMercedes
Luketodd22,dmartin_19
BernardiKate,CTVNews
oldbakerman,Peady
Peady,oldbakerman
DubFaktion,CTVNews
DubFaktion,CTVMercedes
oldbakerman,CTVNews
oldbakerman,Peady
oldbakerman,CTVMercedes
HvyDCrimeSpree,CTVNews
HvyDCrimeSpree,kelly_t_mac
HvyDCrimeSpree,CTVMercedes
oldbakerman,Peady
oldbakerman,CTVNews
oldbakerman,CTVMercedes
oldbakerman,JimWatsonOttawa
OpenHouseRadio,stevenchase
ficklepeach1,corybowles
ficklepeach1,Trilliumgyal
ficklepeach1,TaySune
ficklepeach1,bowser1067
Trilliumgyal,corybowles
Trilliumgyal,corybowles
Trilliumgyal,ashleyjmorton
ficklepeach1,Trilliumgyal
ficklepeach1,TaySune
ficklepeach1,corybowles
ficklepeach1,bowser1067
corybowles,TaySune
corybowles,Trilliumgyal
corybowles,ashleyjmorton
Trilliumgyal,baaaileey
Trilliumgyal,kctvtom
Trilliumgyal,corybowles
Trilliumgyal,ashleyjmorton
TheronBeggs,Trilliumgyal
TheronBeggs,corybowles
Bin_Hamin,Trilliumgyal
Bin_Hamin,NickFlowXX
Bin_Hamin,corybowles
wilcox1232,corybowles
wilcox1232,HFXGeek77
Trilliumgyal,AdamaBaldwin
Trilliumgyal,corybowles
TheronBeggs,corybowles
TheronBeggs,Trilliumgyal
Trilliumgyal,TheronBeggs
Trilliumgyal,corybowles
Trilliumgyal,bowser1067
seanliamdyer,Trilliumgyal
seanliamdyer,AdamaBaldwin
seanliamdyer,corybowles
corybowles,Trilliumgyal
corybowles,corybowles
corybowles,kctvtom
corybowles,ashleyjmorton
corybowles,Trilliumgyal
corybowles,ashleyjmorton
corybowles,Trilliumgyal
corybowles,kctvtom
corybowles,corybowles
corybowles,ashleyjmorton
Trilliumgyal,TheronBeggs
Trilliumgyal,corybowles
ficklepeach1,Trilliumgyal
ficklepeach1,TaySune
ficklepeach1,corybowles
ficklepeach1,bowser1067
corybowles,TheronBeggs
corybowles,Trilliumgyal
Trilliumgyal,corybowles
Trilliumgyal,ashleyjmorton
corybowles,Trilliumgyal
corybowles,TheronBeggs
TheronBeggs,Trilliumgyal
TheronBeggs,corybowles
AdamaBaldwin,Trilliumgyal
AdamaBaldwin,corybowles
Bin_Hamin,corybowles
Bin_Hamin,Trilliumgyal
Trilliumgyal,corybowles
Trilliumgyal,kctvtom
Trilliumgyal,ashleyjmorton
NickFlowXX,Bin_Hamin
NickFlowXX,corybowles
NickFlowXX,Trilliumgyal
Trilliumgyal,kctvtom
Trilliumgyal,corybowles
Trilliumgyal,ashleyjmorton
Trilliumgyal,seanliamdyer
Trilliumgyal,AdamaBaldwin
Trilliumgyal,corybowles
Trilliumgyal,ficklepeach1
Trilliumgyal,TaySune
Trilliumgyal,corybowles
Trilliumgyal,bowser1067
TaySune,corybowles
Trilliumgyal,TaySune
Trilliumgyal,corybowles
Trilliumgyal,bowser1067
ficklepeach1,Trilliumgyal
ficklepeach1,TaySune
ficklepeach1,corybowles
ficklepeach1,bowser1067
Trilliumgyal,corybowles
Trilliumgyal,kctvtom
Trilliumgyal,ashleyjmorton
Trilliumgyal,ashleyjmorton
Trilliumgyal,corybowles
Trilliumgyal,corybowles
Trilliumgyal,ashleyjmorton
baaaileey,Trilliumgyal
baaaileey,kctvtom
baaaileey,corybowles
baaaileey,ashleyjmorton
TheronBeggs,Trilliumgyal
TheronBeggs,corybowles
TaySune,corybowles
TaySune,Trilliumgyal
TaySune,bowser1067
Trilliumgyal,TheronBeggs
Trilliumgyal,ashleyjmorton
Trilliumgyal,corybowles
Trilliumgyal,NickFlowXX
Trilliumgyal,Bin_Hamin
Trilliumgyal,corybowles
corybowles,ficklepeach1
corybowles,Trilliumgyal
corybowles,TaySune
corybowles,bowser1067
corybowles,Trilliumgyal
corybowles,ashleyjmorton
Trilliumgyal,corybowles
Trilliumgyal,ashleyjmorton
Bin_Hamin,NickFlowXX
Bin_Hamin,corybowles
Bin_Hamin,Trilliumgyal
corybowles,Trilliumgyal
corybowles,AdamaBaldwin
corybowles,corybowles
baaaileey,Trilliumgyal
baaaileey,kctvtom
baaaileey,corybowles
baaaileey,ashleyjmorton
Trilliumgyal,Bin_Hamin
Trilliumgyal,corybowles
corybowles,Trilliumgyal
corybowles,TheronBeggs
TheronBeggs,Trilliumgyal
TheronBeggs,ashleyjmorton
TheronBeggs,corybowles
corybowles,Trilliumgyal
corybowles,kctvtom
corybowles,ashleyjmorton
ashleyjmorton,Trilliumgyal
ashleyjmorton,corybowles
Trilliumgyal,TheronBeggs
Trilliumgyal,ashleyjmorton
Trilliumgyal,corybowles
corybowles,Trilliumgyal
corybowles,corybowles
corybowles,ashleyjmorton
corybowles,Trilliumgyal
corybowles,corybowles
corybowles,ashleyjmorton
corybowles,Trilliumgyal
corybowles,ashleyjmorton
corybowles,corybowles
Trilliumgyal,corybowles
Trilliumgyal,ashleyjmorton
bowser1067,Trilliumgyal
Bin_Hamin,Trilliumgyal
Bin_Hamin,NickFlowXX
Bin_Hamin,corybowles
Trilliumgyal,Mimacat14
Trilliumgyal,Bin_Hamin
Mimacat14,Bin_Hamin
Mimacat14,Trilliumgyal
TaySune,corybowles
Trilliumgyal,Bin_Hamin
Trilliumgyal,NickFlowXX
Trilliumgyal,corybowles
barrywood,corybowles
Trilliumgyal,ashleyjmorton
Trilliumgyal,corybowles
TheronBeggs,Trilliumgyal
TheronBeggs,ashleyjmorton
TheronBeggs,corybowles
adrienpiette1,CBCNews
JuniorOsabag,CBCNews
vankampenrjj,CBCNews
teresa_harring,CBCNews
tsancer,HuffPostCanada
tsancer,colorme
Derfdaddy,HuffPostCanada
Derfdaddy,perch35km
Derfdaddy,BadatYusuf
BlindManMark,HuffPostCanada
BlindManMark,BadatYusuf
ALopezPacheco,HuffPostCanada
ALopezPacheco,BadatYusuf
Brockcold,theScore
8soup,theScore
8soup,RossyYoungblood
harv14,theScore
harv14,LeafsNation619
ColinRWillis,theScore
ColinRWillis,NHL
shdwstrm,theScore
docmma,theScore
401Bruno,theScore
FayyazMawani,ShamilJessa
FayyazMawani,theScore
tttayco,CamMCollins
tttayco,daveprisco
ahcros,daveprisco
ahcros,stphnmaher
ahcros,Joerayment
shawnsheehan75,daveprisco
shawnsheehan75,BlogsofWar
