Source,Target
rober1236Jua,cnni
loonybinsblog,cnni
BenSkrewd,cnni
libertylover49,cnni
BenSkrewd,cnni
BenSkrewd,cnni
BenSkrewd,cnni
colt745flockin1,cnni
BenSkrewd,cnni
VectorRoll,cnni
lyka1002,cnni
lyka1002,CNN
BenSkrewd,cnni
hoosercharles58,cnni
hoosercharles58,worldmist1
hoosercharles58,CNN
hoosercharles58,worldmist1
AThaufeeq,JWadeMoses
AThaufeeq,cnni
dncnarthurs,cnni
JWadeMoses,cnni
BenSkrewd,cnni
worldmist1,hoosercharles58
BenSkrewd,cnni
AHMagazine,Shemp_358
AHMagazine,FaithGoldy
AHMagazine,PzFeed
SuperboyJohnson,PzFeed
AHMagazine,Shemp_358
AHMagazine,FaithGoldy
AHMagazine,PzFeed
dkemper,FaithGoldy
dkemper,PzFeed
Shemp_358,AHMagazine
Shemp_358,FaithGoldy
Shemp_358,PzFeed
OutLawHBilly,PzFeed
GMANisTBE,PzFeed
GMANisTBE,MACKisTBE
GMANisTBE,KeaunKaz
DecFM104,PzFeed
AHMagazine,Shemp_358
AHMagazine,FaithGoldy
AHMagazine,PzFeed
AHMagazine,Shemp_358
AHMagazine,FaithGoldy
AHMagazine,PzFeed
Shemp_358,AHMagazine
Shemp_358,FaithGoldy
Shemp_358,PzFeed
Shemp_358,AHMagazine
Shemp_358,FaithGoldy
Shemp_358,PzFeed
EasternOar,mistervermin
EasternOar,FaithGoldy
EasternOar,PzFeed
FaithGoldy,PzFeed
Shemp_358,AHMagazine
Shemp_358,FaithGoldy
Shemp_358,PzFeed
Tastic1,FaithGoldy
Tastic1,PzFeed
Shemp_358,AHMagazine
Shemp_358,FaithGoldy
Shemp_358,PzFeed
Galanos_sN,PzFeed
Tuigim,PzFeed
endracebasedlaw,FaithGoldy
endracebasedlaw,PzFeed
AHMagazine,Shemp_358
AHMagazine,FaithGoldy
AHMagazine,PzFeed
Shemp_358,AHMagazine
Shemp_358,FaithGoldy
Shemp_358,PzFeed
AHMagazine,Shemp_358
AHMagazine,FaithGoldy
AHMagazine,PzFeed
Shemp_358,AHMagazine
Shemp_358,FaithGoldy
Shemp_358,PzFeed
AHMagazine,Shemp_358
AHMagazine,FaithGoldy
AHMagazine,PzFeed
Shemp_358,FaithGoldy
Shemp_358,PzFeed
Shemp_358,AHMagazine
Shemp_358,FaithGoldy
Shemp_358,PzFeed
EasternOar,FaithGoldy
EasternOar,PzFeed
Shemp_358,AHMagazine
Shemp_358,FaithGoldy
Shemp_358,PzFeed
PhyllisSilver,PzFeed
1anhaga,PzFeed
1anhaga,souljourner14
Shemp_358,AHMagazine
Shemp_358,FaithGoldy
Shemp_358,PzFeed
Shemp_358,AHMagazine
Shemp_358,FaithGoldy
Shemp_358,PzFeed
mistervermin,EasternOar
mistervermin,FaithGoldy
mistervermin,PzFeed
penoash,Canadagentleman
penoash,jdee_
havers_barbara,Canadagentleman
havers_barbara,quietfire
Jude_Nachabe,Canadagentleman
AlisonPaoli,Greg_M_Schwartz
Greg_M_Schwartz,Canadagentleman
AlisonPaoli,Greg_M_Schwartz
Greg_M_Schwartz,AlisonPaoli
Greg_M_Schwartz,Greg_M_Schwartz
JChokonen,Canadagentleman
