Source,Target
crustybakerinoz,newscomauHQ
reofiras,newscomauHQ
jimmcgrath90,newscomauHQ
CorrigaNatalie,newscomauHQ
KaliMagyar,newscomauHQ
JimSoti,newscomauHQ
MzAlkinani,newscomauHQ
NDepositar,newscomauHQ
SirJosh94,newscomauHQ
terrinnc63,JMThompson95
terrinnc63,newscomauHQ
wrigglyrodger,jimmcgrath90
wrigglyrodger,newscomauHQ
ramessenger,newscomauHQ
slave_too_life,newscomauHQ
Dora25Z,newscomauHQ
RoqiaJr,newscomauHQ
makeupurselfxxx,newscomauHQ
ElsoMusic,newscomauHQ
ChrisYesChris,newscomauHQ
JMThompson95,newscomauHQ
BabsSheKing,ladyrare1
BabsSheKing,Independent
anthonybrown9,Independent
Ossiewolfie,Independent
ndizeyejh,Independent
ch0ng_li,Independent
Fafa459,Independent
_KyleRedmond,Independent
WassHaider,Independent
jihadaeon,Independent
jihadaeon,Negation2010
ladyrare1,Independent
alans_world,Independent
KhyatiMehta,TODAYonline
emt_brown,TODAYonline
gerardjmcl,TODAYonline
TODAYonline,KhyatiMehta
SRT8JeepDriver,TODAYonline
JudithKto,TODAYonline
jenndogg1,SRT8JeepDriver
jenndogg1,TODAYonline
SRT8JeepDriver,jenndogg1
SRT8JeepDriver,TODAYonline
SRT8JeepDriver,TODAYonline
SRT8JeepDriver,jenndogg1
omgcolinmorgan,Independent
Rhaynukaa,janathe9s
Rhaynukaa,Independent
Emilitaa23,mickbell38
Emilitaa23,Independent
EceBarisik,Independent
mickbell38,Emilitaa23
mickbell38,Independent
TuscanyBernier,Independent
annegorton,Independent
bertiespangles,Independent
Emilitaa23,Independent
skibum999,Independent
kevinhaast,Independent
Tom_Dodds,Independent
Austmann76,TuscanyBernier
Austmann76,Independent
Austmann76,Independent
CherylWevell,annegorton
MrsJaneRace,Emilitaa23
MrsJaneRace,Independent
janathe9s,Independent
AFCTingers,Independent
LomondHandley,Tulletilsynet
LomondHandley,LibyaLiberty
ottomanscribe,LibyaLiberty
_maryem1,PDAriano
_maryem1,LibyaLiberty
_maryem1,PDAriano
_maryem1,LibyaLiberty
flipsville,LibyaLiberty
Stollen_Heart,KarmelinaHu
Stollen_Heart,LibyaLiberty
madmixolydian,LibyaLiberty
madmixolydian,MumbaiCentral
HeartsadThe,LibyaLiberty
WillySonbol,ISIS_CRIMES
WillySonbol,LibyaLiberty
LomondHandley,ISIS_CRIMES
LomondHandley,LibyaLiberty
Tulletilsynet,LomondHandley
Tulletilsynet,LibyaLiberty
Tulletilsynet,LibyaLiberty
egharish,LibyaLiberty
zainabsmom,LibyaLiberty
PDAriano,_maryem1
PDAriano,LibyaLiberty
LomondHandley,flipsville
LomondHandley,LibyaLiberty
gulielmus,LibyaLiberty
lahorigori,LibyaLiberty
lahorigori,BhaiChod
WorstViking,KarmelinaHu
yearning4d_sky,LibyaLiberty
yearning4d_sky,PritishNandy
LomondHandley,Tulletilsynet
LomondHandley,LibyaLiberty
flipsville,LibyaLiberty
Titanrising_,LibyaLiberty
PDAriano,LibyaLiberty
CynicalSultan,LibyaLiberty
CynicalSultan,MumbaiCentral
LibyaLiberty,flipsville
SchoolmarmDE,LibyaLiberty
SchoolmarmDE,marstrina
KarmelinaHu,LibyaLiberty
ISIS_CRIMES,LibyaLiberty
syamjee,LibyaLiberty
syamjee,PritishNandy
ottomanscribe,LibyaLiberty
AlexBrown77,lenoretaylor
chrishagentb,lenoretaylor
chrishagentb,lenoretaylor
BrigadierSlog,lenoretaylor
BrigadierSlog,sirtessa
brigadam,chrishagentb
