Source,Target
Nancywillask,YahooNews
Jim_Isaacs13,YahooNews
Felicia70469525,YahooNews
Nancywillask,hotelkeys
hotelkeys,Nancywillask
SamDori4,YahooNews
SamDori4,IranFrontPage
JasonHarris28,YahooNews
kade6767,YahooNews
realgonzoid,YahooNews
realgonzoid,katiecouric
pinkwolf,Pav90
pinkwolf,BBCBreaking
SiODsays,slicedlime
ATMology,BBCBreaking
sonturin,swat_wilson
sonturin,ShiaPrincesss
sonturin,BBCBreaking
Fascistlefty,BBCBreaking
CabbageTV,BBCBreaking
MissNataliePike,Pav90
MissNataliePike,paul_keggin
swat_wilson,sonturin
swat_wilson,ShiaPrincesss
swat_wilson,BBCBreaking
Pav90,paul_keggin
adigunap,BBCBreaking
DavidC516,ShiaPrincesss
slicedlime,SiODsays
Pav90,BBCBreaking
russelljnoble,ShiaPrincesss
pinkwolf,ShiaPrincesss
pinkwolf,BBCBreaking
whatevercabello,ShiaPrincesss
whatevercabello,BBCBreaking
EastAfricn_Clex,Pav90
EastAfricn_Clex,BBCBreaking
captain_darragh,BBCBreaking
SiODsays,slicedlime
Fascistlefty,thomasking
Fascistlefty,BBCBreaking
tbskyen,BBCBreaking
rebmy75,DavidC516
rebmy75,ShiaPrincesss
slicedlime,BBCBreaking
paul_keggin,Pav90
thomasking,Fascistlefty
thomasking,BBCBreaking
swat_wilson,ShiaPrincesss
swat_wilson,BBCBreaking
winegeeknz,BBCBreaking
Leanderbela,Pav90
Leanderbela,BBCBreaking
PhilDeCarolis,DailyMailAU
PhilDeCarolis,RealAlexJones
Rrreeeeeddd,JohnnyUtah100
Rrreeeeeddd,JohnnyUtah100
beebobaby,DailyMailAU
beebobaby,AmericnElephant
gjardim,DailyMailAU
gjardim,BarackObama
DKeith0904,JohnnyUtah100
makeshiftmgc,Richard_Maunder
makeshiftmgc,DailyMailAU
SebTianForm,DailyMailAU
SebTianForm,MailOnline
juliemela,DailyMailAU
juliemela,MailOnline
juliemela,ottomanscribe
Richard_Maunder,makeshiftmgc
Richard_Maunder,DailyMailAU
aliakbarshahine,DailyMailAU
JohnnyUtah100,Rrreeeeeddd
Rrreeeeeddd,JohnnyUtah100
AmericnElephant,beebobaby
Richard_Maunder,DailyMailAU
Manitobagal,DailyMailAU
samemniktom,DailyMailAU
samemniktom,drpiotrowski
JohnnyUtah100,Rrreeeeeddd
Rrreeeeeddd,JohnnyUtah100
JohnnyUtah100,DKeith0904
JohnnyUtah100,Rrreeeeeddd
Pierre_B_y,NewsOnTheMin
Pierre_B_y,PBouby
PerdreLaRaison_,NewsOnTheMin
carrietony35,NewsOnTheMin
Craigsafc23,NewsOnTheMin
mizumaart,NewsOnTheMin
Lauramzy,NewsOnTheMin
Lauramzy,Amir_G_Beshay
VerschoorDavid,NewsOnTheMin
VerschoorDavid,Footy_Tipster
FoxtrotYankee57,NewsOnTheMin
FoxtrotYankee57,AZWS
b1ue0w112,NewsOnTheMin
b1ue0w112,ST3NT077_swfc_
Jscott2972,NewsOnTheMin
Jscott2972,Meir_Taub
eckersley01,NewsOnTheMin
eckersley01,OneDannyMercer
swerve180,NewsOnTheMin
swerve180,OneDannyMercer
69SKlANS,NewsOnTheMin
erteyoyo,NewsOnTheMin
OliverPearson1,NewsOnTheMin
OliverPearson1,ktjwads
SmotheringTwat,CBCNews
DavidwilsonDave,PWayne6
DavidwilsonDave,em128_
DavidwilsonDave,CBCNews
em128_,CBCNews
Ronchie53,CBCNews
alanhabbickcbc,CBCNews
baldevsood,alanhabbickcbc
baldevsood,RosieBarton
baldevsood,CBCNews
DavidwilsonDave,PWayne6
DavidwilsonDave,em128_
DavidwilsonDave,CBCNews
PWayne6,DavidwilsonDave
PWayne6,em128_
PWayne6,CBCNews
japaulin,CBCNews
PWayne6,DavidwilsonDave
PWayne6,em128_
PWayne6,CBCNews
PWayne6,DavidwilsonDave
PWayne6,em128_
PWayne6,CBCNews
mattwhill,CBCNews
mattwhill,Msenoff226
PWayne6,DavidwilsonDave
PWayne6,em128_
PWayne6,CBCNews
rshappy89,CBCNews
SergeQuinty,alanhabbickcbc
beautran,CBCNews
Pirani110,CBCNews
sstavro12,samheritage_
Scatmaster,CBCNews
DavidwilsonDave,PWayne6
DavidwilsonDave,em128_
DavidwilsonDave,CBCNews
DavidwilsonDave,em128_
DavidwilsonDave,CBCNews
redkittycat,CBCNews
SajidCKP,CBCNews
SajidCKP,BDUTT
SajidCKP,sardesairajdeep
SajidCKP,cnni
SajidCKP,bloombergnews
SajidCKP,ndtv
am77933250,FoxNews
feltner_johnny,CampyNeighbor
feltner_johnny,FoxNews
CampyNeighbor,FoxNews
DsonMichael,AndrewMNewby
DsonMichael,FoxNews
edhined,FoxNews
DareToReadIt,FoxNews
DareToReadIt,FoxNews
AndrewMNewby,FoxNews
FreitagT15,FoxNews
Furrystoat,cnni
Furrystoat,randomtest6
Furrystoat,cnni
LMExtra,cnni
yuubooie,cnni
reytsibayan,cnni
reytsibayan,dzrhnews
DrIbekwe,cnni
TrondheimHatter,LMExtra
TrondheimHatter,VingaGjerstad
TrondheimHatter,cnni
niki1Kendra,cnni
MahmoudRabi3,cnni
AARamarao,cnni
Gkae01,cnni
Patrick_Pushkar,cnni
Patrick_Pushkar,CNN
beelingw,cnni
randomtest6,Furrystoat
randomtest6,cnni
randomtest6,cnni
randomtest6,Furrystoat
randomtest6,cnni
Angry_Magpie,mohamedghilan
matt_raisutis,robertelessar
johnjmilne,mohamedghilan
matt_raisutis,robertelessar
shepaldinho,mohamedghilan
shepaldinho,steveclarkuk
MGEmancipation,mohamedghilan
oTheBDL,Atticus_Amber
oTheBDL,mohamedghilan
robertelessar,matt_raisutis
Atticus_Amber,mohamedghilan
matt_raisutis,robertelessar
matt_raisutis,robertelessar
LivingSydneyAus,mohamedghilan
robertelessar,matt_raisutis
grizzleeman,mohamedghilan
robertelessar,matt_raisutis
matt_raisutis,robertelessar
robertelessar,matt_raisutis
HumanRights2K,mohamedghilan
robertelessar,matt_raisutis
strategyaudit,mohamedghilan
matt_raisutis,robertelessar
naterogers9,mohamedghilan
matt_raisutis,robertelessar
KapilSpeaks,mohamedghilan
Ibtehajather,mohamedghilan
Atticus_Amber,oTheBDL
Atticus_Amber,mohamedghilan
matt_raisutis,mohamedghilan
SashaDBitch,GMA
sairysalmo,GMA
rosemaryhersey,Softsaint
rosemaryhersey,GMA
LuckyEst1013,GMA
trancebarb0513,GMA
trancebarb0513,ABC
haleygmiddleton,GMA
Worthme,Softsaint
Worthme,rosemaryhersey
Worthme,GMA
AustinMSlingers,GMA
LitalLital7987,GMA
pika_penguin,GMA
TheGamingAJ123,GMA
Softsaint,GMA
worldsfriend,GMA
Aestheticers,GMA
Aestheticers,ABC
rosemaryhersey,Softsaint
rosemaryhersey,GMA
TwitTartwif,GMA
Softsaint,rosemaryhersey
Softsaint,GMA
VOAJiangHe,GMA
LadyAijana,BBCNewsAus
Shaforama,BBCNewsAus
Jessica1Lane,BBCNewsAus
adigunap,BBCNewsAus
holly_monery,BBCNewsAus
CampyNeighbor,BBCNewsAus
CampyNeighbor,BBCWorld
wilmerdon,BBCNewsAus
wilmerdon,kurduene
lourimmed,blueprintzayn
blueprintzayn,lourimmed
BoBhoomi,BBCNewsAus
BoBhoomi,skull_baba
lourimmed,blueprintzayn
wawam,BBCNewsAus
JamaicaMoana,BBCNewsAus
AhmedAElsisi,BBCNewsAus
blueprintzayn,lourimmed
CampyNeighbor,BBCNewsAus
CampyNeighbor,BBCWorld
blueprintzayn,BBCNewsAus
wilmerdon,AhmedAElsisi
wilmerdon,BBCNewsAus
Beckaa_92,BBCNewsAus
itsallyduhh,BBCNewsAus
nancyprager,nycjim
ProfranRoach,nycjim
dryanmedia,nycjim
suncoastcabs,nycjim
JoGrayBoss,nycjim
JoGrayBoss,Uber_Sydney
DavidNelsonNM,nycjim
DavidNelsonNM,missb62
suncoastcabs,HelenKennedy
suncoastcabs,nycjim
HelenKennedy,nycjim
madrugadita,nycjim
madrugadita,LenaForCongress
juliewbee,nycjim
KezarSoze,nycjim
KezarSoze,bruce_arthur
maragulens,nycjim
InfectiousJK,nycjim
InfectiousJK,sethmnookin
vxfe976,abcnews
vxfe976,Uber_Sydney
Uber_Sydney,vxfe976
Uber_Sydney,abcnews
the_nucleotide,Sydneykiz
the_nucleotide,abcnews
kilkenny_martin,abcnews
Sydneykiz,abcnews
Maxwell1938,abcnews
the_nucleotide,Sydneykiz
the_nucleotide,abcnews
shanj007,abcnews
Sydneykiz,the_nucleotid
Sydneykiz,abcnews
pxwilliamson,MavisDee
pxwilliamson,MavisDee
pxwilliamson,AJENews
pxwilliamson,MavisDee
pxwilliamson,AJENews
MavisDee,pxwilliamson
Ap_cutie,AJENews
pxwilliamson,AJENews
pxwilliamson,MavisDee
_rubyjones_,AJENews
_rubyjones_,zoequirk24
bibisaburo,AJENews
MavisDee,pxwilliamson
MavisDee,AJENews
MavisDee,pxwilliamson
MavisDee,AJENews
SamDori4,AJENews
SamDori4,IranFrontPage
PolarVan,abcnews
AAR0N106,abcnews
BrighterTyger,abcnews
GregHughes2,abcnews
GregHughes2,dublinrecruiter
s_logar,abcnews
AAR0N106,abcnews
sammonford,abcnews
markinsevilla,abcnews
akaNoodleBox,abcnews
mgherman,abcnews
RescueJimmy,abcnews
RescueJimmy,waff48
greenmitera,abcnews
kkyyzzaa,akaNoodleBox
kkyyzzaa,abcnews
Mia_Walters,abcnews
hbgmobile,abcnews
hbgmobile,KJBar
haurry_stvlles,NBCNews
piodalcin,NBCNews
piodalcin,heykim
JenEf8,OhMyGOFF
cockatootommy,Ivyprofessor
cockatootommy,NBCNews
edhined,NBCNews
abkoma,NBCNews
Ivyprofessor,cockatootommy
Ivyprofessor,NBCNews
