Source,Target
ComplexPop,lovemikedope
ComplexPop,ComplexPop
ComplexPop,TheParkerFoster
LisaBloom,ansicpg1252
LisaBloom,leonlohr
LisaBloom,leonlohr
LisaBloom,missypach
LisaBloom,AiryOrange
LisaBloom,Cajun_Manor
LisaBloom,missypach
LisaBloom,veggietrunks
LisaBloom,jazzypeanuts
LisaBloom,TimWiseheart
LisaBloom,LisaBloom
LisaBloom,angelagscott
LisaBloom,ansicpg1252
LisaBloom,10BitEye
LisaBloom,mommy2mni
LisaBloom,BenRodriguez413
LisaBloom,lawalazu
LisaBloom,leonlohr
LisaBloom,leonlohr
LisaBloom,lawalazu
LisaBloom,RobKCorbettEsq
LisaBloom,magic_uno
LisaBloom,BriannaPhilly
LisaBloom,leonlohr
LisaBloom,TimWiseheart
LisaBloom,DefinitelyMay_b
LisaBloom,TimWiseheart
LisaBloom,veggietrunks
LisaBloom,RandomsByEbbie
LisaBloom,29plussome
LisaBloom,TronMercury
LisaBloom,Hear1by1
LisaBloom,veggietrunks
LisaBloom,CarltonHawkins
LisaBloom,artnstrings
LisaBloom,leonlohr
LisaBloom,29plussome
TheRoot,NTRL_WMN
TheRoot,AkuaMayDay
TheRoot,THEJNSREPORT
TheRoot,MKPinNYC
TheRoot,SexNotProms
TheRoot,cap1corn9
TheRoot,TheRoot
TheRoot,Kate4Love
TheRoot,CaccioppoliMike
TheRoot,fallongreen15
TheRoot,Badjudy6886
BridjesONeil,SuperflySista_
BridjesONeil,SueBadeau
BridjesONeil,ckrazman84
BridjesONeil,BridjesONeil
BridjesONeil,Jooney_86
BridjesONeil,chari_xo
BridjesONeil,BridjesONeil
BridjesONeil,andybud_o
BridjesONeil,MarkiaHolt
BridjesONeil,Annette_HW101
BridjesONeil,ikeepsitFUNKY
BridjesONeil,kuhndsn
BridjesONeil,andybud_o
BridjesONeil,xbreakingeven
BridjesONeil,Samilitant
BridjesONeil,thatguypenny
BridjesONeil,SuzanEraslan
BridjesONeil,alrea7
ReutersUS,john070170
ReutersUS,kproductionel
ReutersUS,dawneb007
ReutersUS,ReutersUS
ReutersUS,Gb8269George
ReutersUS,Efi2nr
ReutersUS,us_rich
ReutersUS,thebookofdad
ReutersUS,ali4all331
ReutersUS,pwloveda
ReutersUS,LegalLENNON
ReutersUS,lillithfarage
ReutersUS,subaruwrx13
ReutersUS,vanillabrown7
ReutersUS,kproductionel
ReutersUS,KingRJ98
aterkel,twcane
aterkel,aterkel
aterkel,OhioStateOO1
aterkel,reftpt
aterkel,brianj135
aterkel,AmandaJoy891
aterkel,LayLo931
aterkel,MichaelSnow92
theonlyadult,theonlyadult
theonlyadult,RantingOwl
theonlyadult,shift2blue
theonlyadult,theonlyadult
theonlyadult,PrettyFootWoman
theonlyadult,robert_robtw51
theonlyadult,edwardprice719
theonlyadult,kingpin7666
theonlyadult,Soapy514
theonlyadult,JoeLoco253
theonlyadult,Ronc99
theonlyadult,ProgressivesWin
theonlyadult,FreedomLVRFilms
theonlyadult,FemisMusic
theonlyadult,KommonKourtesy_
theonlyadult,k_ur_crazy
theonlyadult,Padma_Kai
theonlyadult,ContributorNews
Bidenshairplugs,LCMtapout24
Bidenshairplugs,HueJasshole
Bidenshairplugs,mooretommyh
Bidenshairplugs,mooretommyh
Bidenshairplugs,psjohnson23
Bidenshairplugs,AlexisinJax
Bidenshairplugs,RichardDeLaGar4
Bidenshairplugs,Bidenshairplugs
Bidenshairplugs,kyle2lamb
Bidenshairplugs,Brettsko
Bidenshairplugs,KimLafreak
Bidenshairplugs,Tha_J_Appleseed
Bidenshairplugs,m_fricks12
Bidenshairplugs,CatsofVelvet
Bidenshairplugs,mooretommyh
Bidenshairplugs,m_fricks12
Bidenshairplugs,krakhouse
Bidenshairplugs,Bidenshairplugs
Bidenshairplugs,Bidenshairplugs
Bidenshairplugs,mmudlaff
Bidenshairplugs,3P1C_F41L
Bidenshairplugs,suzanneblueblue
Bidenshairplugs,Bidenshairplugs
Bidenshairplugs,mmudlaff
Bidenshairplugs,HawkHogan2012
Bidenshairplugs,loveskentucky
Bidenshairplugs,Tha_J_Appleseed
Bidenshairplugs,HawkHogan2012
Bidenshairplugs,dekedick
Bidenshairplugs,Jjc1Jerry
Bidenshairplugs,RichardDeLaGar4
Bidenshairplugs,Bidenshairplugs
Bidenshairplugs,mmudlaff
Bidenshairplugs,kimballkan56
Bidenshairplugs,Bidenshairplugs
Bidenshairplugs,DiloAndStitch
Bidenshairplugs,m_fricks12
Bidenshairplugs,306dad
Bidenshairplugs,dekedick
RT_com,PresumptuousBug
RT_com,annettedavids19
RT_com,Themarkdoze
RT_com,JohnnyMcJr
RT_com,elza_news
RT_com,g_alejadro
RT_com,AlmightySpruce
RT_com,rabea_bouhafs
RT_com,prabaI1978
RT_com,israeltucker
RT_com,AlmightySpruce
RT_com,CelestialCylon
RT_com,MrPeterBoon
RT_com,colinmo84319118
RT_com,prabaI1978
RT_com,RT_com
Lawrence,please_continue
Lawrence,shookw
Lawrence,msaywatson
Lawrence,carriejorg
Lawrence,febone1960net
Lawrence,BornredNowblue
Lawrence,abmartinson
Lawrence,lawhawk
Lawrence,tehtwinnercat
Lawrence,Lawrence
Lawrence,shookw
Lawrence,tmack894
Lawrence,AlexIsTheeName
Lawrence,phoebusboy1
Lawrence,phoebusboy1
Lawrence,msaywatson
Lawrence,goingtheretosee
Lawrence,cailleachst
Lawrence,half_witt
Lawrence,msaywatson
Lawrence,shookw
Lawrence,sequitir
Lawrence,stevemakastevem
TPM,BLPrime
TPM,Auxi13Sheila
TPM,jathebeau
TPM,heatherinheels
TPM,Kjhobbs1985
TPM,azcourier
TPM,Kjhobbs1985
TPM,peterlauer
TPM,sueinwny
TPM,BostonSnob
TPM,CaccioppoliMike
TPM,Kuku_Sabzi
TPM,Sarrobsgirl
TPM,TPM
TPM,Joshreyns
TPM,boyhaircut
TPM,Jkhidboi
TPM,erikacstarr
TPM,Ronc99
tjholmes,King_Cesar82
tjholmes,B_SoFeisty
tjholmes,B_SoFeisty
tjholmes,SOOTHE_
tjholmes,SOOTHE_
tjholmes,nileawhile
tjholmes,imEbony
tjholmes,verycoolslug
tjholmes,King_Cesar82
tjholmes,SOOTHE_
tjholmes,verycoolslug
tjholmes,nileawhile
tjholmes,B_SoFeisty
tjholmes,SOOTHE_
tjholmes,SheilaDowningRN
tjholmes,verycoolslug
tjholmes,Juicy_JayRN
tjholmes,Btrswet
tjholmes,verycoolslug
tjholmes,King_Cesar82
tjholmes,PJ4MJJ
tjholmes,B_SoFeisty
tjholmes,King_Cesar82
tjholmes,nileawhile
tjholmes,pduetswithBabs
tjholmes,King_Cesar82
tjholmes,Juicy_JayRN
tjholmes,SOOTHE_
tjholmes,pduetswithBabs
tjholmes,B_SoFeisty
tjholmes,King_Cesar82
tjholmes,Juicy_JayRN
AnonymousPress,turdhole
AnonymousPress,MasSergio
AnonymousPress,GeneralNikkiX
AnonymousPress,whiteangora
AnonymousPress,BeautifullBee
AnonymousPress,Only1Rahk
AnonymousPress,_barryj_
AnonymousPress,Ainokea88
AnonymousPress,Effswell
AnonymousPress,ReedHealthSer
AnonymousPress,indik
AnonymousPress,uncutcg
AnonymousPress,pixiewithscythe
AnonymousPress,onafi
AnonymousPress,AnonymousPress
AnonymousPress,PhineasPhatt
AnonymousPress,RazorWireHeart
AnonymousPress,OpFerguson
nagoul1,sternhe
nagoul1,Horrible_Human
nagoul1,Barushka36
nagoul1,SharingInfoLive
nagoul1,callmelit
nagoul1,PrinceKhaled75
nagoul1,Schtaunkhauser
nagoul1,cmarslett
nagoul1,GeeSungee
nagoul1,Dom_Jurcisek
nagoul1,rarelyclever
nagoul1,kschottt
nagoul1,CinnaAyn
nagoul1,CHRISTIANBOYCE2
nagoul1,kschottt
nagoul1,RealWillDean
nagoul1,KSwa50
nagoul1,twinning_3
nagoul1,jfpgaffney
nagoul1,sternhe
nagoul1,D4DoF3
nagoul1,ShadAzmy
QuadCityPat,Conservativrulz
QuadCityPat,BMLewis2
QuadCityPat,daiconrad
QuadCityPat,Chankobun
QuadCityPat,QuadCityPat
QuadCityPat,steeler1828
QuadCityPat,VivStCherry
QuadCityPat,Conservativrulz
QuadCityPat,billplante
QuadCityPat,Conservativrulz
QuadCityPat,Conservativrulz
QuadCityPat,SharonMelendes
QuadCityPat,kileykroh
QuadCityPat,MelissaMono
QuadCityPat,kileykroh
QuadCityPat,QuadCityPat
QuadCityPat,QuadCityPat
QuadCityPat,kileykroh
QuadCityPat,daiconrad
QuadCityPat,3ChicsPolitico
QuadCityPat,KMBTweets
QuadCityPat,myneworleansis
QuadCityPat,SharonMelendes
QuadCityPat,QuadCityPat
QuadCityPat,DreadsOnFleek
QuadCityPat,BexaRaven
QuadCityPat,Conservativrulz
RokBailey,PaulosTeka
RokBailey,wheeler281
rolandsmartin,agoge_warrior
rolandsmartin,MagicCityRegi
rolandsmartin,aweiser278
rolandsmartin,JAYELOHIM
rolandsmartin,beenCrown
rolandsmartin,TweetlySaved
rolandsmartin,brandi_e_hudson
rolandsmartin,IAM_TYC
rolandsmartin,80mercy
rolandsmartin,rolandsmartin
rolandsmartin,AGM100TUC
rolandsmartin,agoge_warrior
rolandsmartin,Adam_99_
rolandsmartin,rogerjab
rolandsmartin,PauahiSouza
rolandsmartin,MrGChristopher
rolandsmartin,AllenGatesDope
rolandsmartin,cailinAolain
rolandsmartin,vcmitchelljr
Nettaaaaaaaa,Kayont0p
Nettaaaaaaaa,Nettaaaaaaaa
Nettaaaaaaaa,SterlzJR
Nettaaaaaaaa,GeekNStereo
mashable,megtolentino
mashable,DotDraper
mashable,StasTanov
mashable,mashable
mashable,KAEP555
TheAnonMessage2,Madmatb
TheAnonMessage2,UnToldCarlisle
TheAnonMessage2,ian_gust
TheAnonMessage2,1DopeDiva
TheAnonMessage2,Py7h4g0ru5
TheAnonMessage2,SeattleNoire
TheAnonMessage2,krissygator
TheAnonMessage2,wiggum7534
TheAnonMessage2,UnToldCarlisle
TheAnonMessage2,TheAnonMessage2
TheAnonMessage2,ScarlettO66
TheAnonMessage2,Madmatb
TheAnonMessage2,amesn_84
TheAnonMessage2,swtsugarcoldice
TheAnonMessage2,Ugly_Flaco
TheAnonMessage2,TheAnonMessage2
TheAnonMessage2,MrsButterface
TheAnonMessage2,Hardhat1090
TheAnonMessage2,rip_red_red_red
TheAnonMessage2,MuhBooLuLu
TheAnonMessage2,AnonyNewsNet
TheAnonMessage2,MyWhiteNinja
TheAnonMessage2,KingJoyy
TheAnonMessage2,TheyCallMeQuax
TheAnonMessage2,MsNoMannazMillr
TheAnonMessage2,AlphaRomeo223
TheAnonMessage2,hoez4sale
TheAnonMessage2,MyNamesCharisma
TheAnonMessage2,d34dr4bb17
TheAnonMessage2,MAZ_Photography
TheAnonMessage2,Pattikkus
TheAnonMessage2,chef69
TheAnonMessage2,Black_Dove
TheAnonMessage2,TheAnonMessage2
TheAnonMessage2,EEElverhoy
TheAnonMessage2,EvolvedAtheist
TheAnonMessage2,approxim8lyhixy
TheAnonMessage2,strobist
TheAnonMessage2,ForeverSkino
TheAnonMessage2,_the_Quellist_
TheAnonMessage2,_the_Quellist_
AmeenaGK,retrocombine
AmeenaGK,retrocombine
AmeenaGK,justinstoned
AmeenaGK,kevinwmiller
AmeenaGK,retrocombine
AmeenaGK,kevinwmiller
AmeenaGK,CyMadD0x
AmeenaGK,kevinwmiller
AmeenaGK,PsychicDogTalk
AmeenaGK,kevinwmiller
AmeenaGK,justinstoned
AmeenaGK,CyMadD0x
AmeenaGK,kevinwmiller
AmeenaGK,retrocombine
AmeenaGK,AmeenaGK
AmeenaGK,jaythenerdkid
AmeenaGK,Estleton12
AmeenaGK,retrocombine
AmeenaGK,retrocombine
AmeenaGK,kevinwmiller
AmeenaGK,retrocombine
AmeenaGK,retrocombine
AmeenaGK,d_m_elms
AmeenaGK,kevinwmiller
AmeenaGK,PsychicDogTalk
AmeenaGK,PsychicDogTalk
AmeenaGK,AmeenaGK
AmeenaGK,d_m_elms
AmeenaGK,AmeenaGK
AmeenaGK,kevinwmiller
AmeenaGK,AmeenaGK
AmeenaGK,retrocombine
AmeenaGK,CyMadD0x
AmeenaGK,PsychicDogTalk
AmeenaGK,kevinwmiller
AmeenaGK,kevinwmiller
AmeenaGK,kevinwmiller
AmeenaGK,hayes_nan
AmeenaGK,kevinwmiller
AmeenaGK,CyMadD0x
AmeenaGK,retrocombine
AmeenaGK,AmeenaGK
AmeenaGK,ahoy_lora
aterkel,Pete_The_Rock
aterkel,WFinchner
aterkel,courtneymcrey
aterkel,scootey
aterkel,marlenan21
aterkel,Pete_The_Rock
aterkel,MroyalT
aterkel,bellesouth826
aterkel,CultureShlock
aterkel,aterkel
aterkel,lulubelle321
aterkel,WhoButAR
aterkel,mediumvillain
aterkel,2ndclarence
aterkel,TheIzomo
aterkel,TimothyCourt38
aterkel,SpaceCoastLaw
aterkel,IAMKPSmith
aterkel,MroyalT
ReignOfApril,MrsDowns
ReignOfApril,regressivesRUs
ReignOfApril,TheBlackIcarus
ReignOfApril,FitoZ33
ReignOfApril,JoiedeVar
ReignOfApril,ranpuba
ReignOfApril,sincerelykema
ReignOfApril,SillyLiberals
ReignOfApril,ReignOfApril
ReignOfApril,MJCB_Junky
ReignOfApril,Jetset636
ReignOfApril,ReignOfApril
ReignOfApril,dmwlkns
ReignOfApril,ExposedOnFilm
ReignOfApril,hectorbalderass
ReignOfApril,Penn36
UniteBlueTX,logikaldj
UniteBlueTX,UNEARTHED
UniteBlueTX,susan19514
